protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
ALKBH5,0.1,0.0
ALKBH7,0.12,0.0
ALMS1,0.52,0.18
ALOX12,0.36,0.18
ALOX12B,0.08,0.04
ALOX15,0.04,0.04
ALOX15B,0.04,0.04
ALOX5,0.7,0.56
ALOX5AP,0.32,0.36
ALOXE3,0.26,0.0
ALPI,0.12,0.02
ALPK1,0.02,0.0
ALPK2,0.06,0.0
ALPL,0.36,0.14
ALPP,0.56,0.28
ALPPL2,0.08,0.0
ALR,0.0,0.02
ALS2,0.34,0.1
ALS2CL,0.08,0.04
ALS2CR11,0.4,0.16
ALS2CR12,0.06,0.04
ALX1,0.12,0.22
ALX4,0.2,0.12
ALYREF,1.0,1.0
AMACR,0.12,0.04
AMBP,0.52,0.36
AMBRA1,0.88,0.6
AMD1,0.28,0.0
AMDHD2,0.1,0.0
AMER1,0.38,0.48
AMER2,0.02,0.0
AMFR,1.0,0.88
AMH,0.1,0.1
AMHR2,0.22,0.02
AMICA1,0.02,0.0
AMIGO2,0.24,0.04
AMMECR1,0.28,0.04
AMMECR1L,0.12,0.08
AMN,0.0,0.1
AMN1,0.02,0.0
AMOT,0.88,0.66
AMOTL1,0.38,0.02
AMOTL2,0.7,0.4
AMPD1,0.06,0.0
AMPD2,0.48,0.08
AMPD3,0.24,0.0
AMPH,0.98,0.7
AMT,0.08,0.08
AMY1C,0.34,0.2
AMY2A,0.1,0.12
AMY2B,0.0,0.02
AMZ2,0.12,0.0
ANAPC1,1.0,0.8
ANAPC10,0.9,0.8
ANAPC11,1.0,0.86
ANAPC13,0.3,0.26
ANAPC15,0.48,0.24
ANAPC16,0.38,0.18
ANAPC2,0.98,0.8
ANAPC4,1.0,0.96
ANAPC5,0.92,0.84
ANAPC7,1.0,0.72
ANG,0.6,0.42
ANGEL1,0.02,0.0
ANGEL2,0.14,0.0
ANGPT1,0.32,0.28
ANGPT2,0.5,0.3
ANGPT4,0.16,0.16
ANGPTL1,0.0,0.04
ANGPTL2,0.02,0.0
ANGPTL3,0.04,0.04
ANGPTL4,0.3,0.12
ANGPTL5,0.04,0.06
ANGPTL7,0.04,0.0
ANK1,0.54,0.4
ANK2,1.0,1.0
ANK3,0.48,0.14
ANKAR,0.06,0.0
ANKEF1,0.14,0.04
ANKFY1,0.66,0.46
ANKH,0.28,0.06
ANKHD1,0.04,0.0
ANKHD1-EIF4EBP3,0.78,0.4
ANKIB1,0.3,0.02
ANKLE1,0.14,0.0
ANKLE2,0.44,0.18
ANKMY2,0.38,0.2
ANKRA2,0.44,0.28
ANKRD1,0.42,0.28
ANKRD10,0.02,0.0
ANKRD11,0.32,0.14
ANKRD12,0.28,0.14
ANKRD13A,0.72,0.4
ANKRD13B,0.56,0.08
ANKRD13C,0.06,0.0
ANKRD13D,0.54,0.08
ANKRD17,0.38,0.14
ANKRD18A,0.02,0.02
ANKRD18B,0.06,0.0
ANKRD2,0.46,0.12
ANKRD23,0.1,0.1
ANKRD24,0.22,0.08
ANKRD26,0.12,0.02
ANKRD27,0.48,0.12
ANKRD28,0.82,0.46
ANKRD30A,0.08,0.0
ANKRD32,0.24,0.16
ANKRD34A,0.08,0.02
ANKRD35,0.08,0.0
ANKRD36BP1,0.1,0.16
ANKRD36C,0.08,0.0
ANKRD37,0.08,0.0
ANKRD39,0.22,0.0
ANKRD40,0.28,0.04
ANKRD42,0.16,0.0
ANKRD44,0.2,0.1
ANKRD45,0.04,0.0
ANKRD46,0.42,0.02
ANKRD50,0.1,0.0
ANKRD52,0.22,0.08
ANKRD53,0.02,0.0
ANKRD55,0.06,0.06
ANKRD6,0.18,0.06
ANKRD7,0.08,0.02
ANKS1A,0.48,0.18
ANKS1B,0.32,0.32
ANKS3,0.06,0.04
ANKS4B,0.04,0.0
ANKS6,0.12,0.0
ANKZF1,0.5,0.2
ANLN,0.26,0.1
ANO1,0.02,0.0
ANO10,0.34,0.0
ANO2,0.06,0.0
ANO5,0.02,0.0
ANO6,0.26,0.04
ANO8,0.02,0.0
ANO9,0.02,0.02
ANP32A,1.0,0.52
ANP32B,0.68,0.4
ANP32D,0.02,0.0
ANP32E,0.78,0.2
ANPEP,0.0,0.04
ANTXR1,0.28,0.04
ANTXR2,0.26,0.02
ANXA1,0.98,0.44
ANXA10,0.14,0.02
ANXA11,0.8,0.6
ANXA13,0.1,0.0
ANXA2,1.0,0.36
ANXA3,0.56,0.34
ANXA4,0.56,0.1
ANXA5,0.86,0.56
ANXA6,0.82,0.4
ANXA7,0.98,0.2
ANXA8L2,0.2,0.06
ANXA9,0.36,0.12
AOC3,0.08,0.1
AOX1,0.34,0.34
AP1AR,0.24,0.06
AP1B1,0.92,0.36
AP1G1,0.94,0.6
AP1G2,0.62,0.36
AP1M1,0.94,0.42
AP1M2,0.8,0.24
AP1S1,0.74,0.26
AP1S2,0.28,0.18
AP1S3,0.06,0.02
AP2A1,0.84,0.44
AP2A2,0.86,0.38
AP2B1,1.0,0.26
AP2M1,1.0,0.2
AP2S1,0.48,0.16
AP3B1,0.82,0.32
AP3B2,0.24,0.06
AP3D1,0.72,0.3
AP3M1,0.56,0.22
AP3M2,0.08,0.02
AP3S1,0.8,0.3
AP3S2,0.44,0.24
AP4B1,0.4,0.14
AP4E1,0.26,0.08
AP4M1,0.54,0.24
