protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
RTN1,0.2,0.18
RTN2,0.04,0.04
RTN3,0.76,0.4
RTN4,1.0,0.72
RTN4IP1,0.26,0.32
RTN4R,0.22,0.26
RTTN,0.4,0.0
RUFY1,0.78,0.56
RUFY2,0.12,0.02
RUFY3,0.06,0.04
RUNDC1,0.12,0.0
RUNDC3A,0.26,0.18
RUNDC3B,0.1,0.04
RUNX1,1.0,0.64
RUNX1-IT1,0.04,0.02
RUNX1T1,0.98,0.8
RUNX2,1.0,0.66
RUNX3,0.86,0.36
RUSC1,0.48,0.0
RUSC2,0.2,0.28
RUVBL1,1.0,0.0
RUVBL2,1.0,0.0
RWDD1,0.28,0.16
RWDD2B,0.4,0.18
RWDD3,0.3,0.0
RWDD4,0.2,0.04
RXFP1,0.02,0.0
RXFP3,0.04,0.0
RXRA,1.0,0.72
RXRB,0.96,0.62
RXRG,0.82,0.64
RYBP,1.0,0.76
RYK,0.94,0.36
RYR1,0.82,0.5
RYR2,0.7,0.38
RYR3,0.24,0.2
S100A1,0.94,0.66
S100A10,0.84,0.62
S100A11,0.82,0.28
S100A12,0.02,0.0
S100A13,0.72,0.32
S100A14,0.3,0.06
S100A16,0.72,0.26
S100A2,0.5,0.12
S100A3,0.04,0.0
S100A4,0.96,0.62
S100A5,0.02,0.02
S100A6,0.86,0.46
S100A7,0.74,0.24
S100A8,1.0,0.58
S100A9,1.0,0.24
S100B,0.86,0.68
S100P,0.42,0.42
S100PBP,0.08,0.0
S100Z,0.04,0.04
S1PR1,0.46,0.34
S1PR2,0.02,0.0
S1PR3,0.14,0.1
S1PR4,0.04,0.12
S1PR5,0.04,0.0
SAA1,0.14,0.08
SAA2,0.04,0.02
SAA4,0.0,0.02
SAAL1,0.48,0.06
SAC3D1,0.0,0.04
SACM1L,0.6,0.3
SACS,0.48,0.36
SAE1,0.94,0.36
SAFB,0.98,0.32
SAFB2,1.0,1.0
SAG,0.24,0.04
SALL1,0.34,0.0
SALL2,0.5,0.28
SALL3,0.12,0.04
SALL4,0.2,0.0
SAMD1,0.08,0.0
SAMD3,0.2,0.04
SAMD4A,0.2,0.04
SAMD4B,0.56,0.14
SAMD8,0.08,0.0
SAMD9,0.18,0.06
SAMD9L,0.0,0.02
SAMHD1,0.92,0.32
SAMM50,0.74,0.32
SAMSN1,0.48,0.18
SAP130,0.86,0.44
SAP18,1.0,0.18
SAP25,0.62,0.44
SAP30,1.0,0.96
SAP30BP,0.96,0.36
SAP30L,0.54,0.5
SAPCD1,0.02,0.02
SAR1A,0.62,0.08
SAR1B,0.26,0.02
SARDH,0.06,0.02
SARM1,0.64,0.42
SARNP,0.88,0.36
SARS,0.86,0.02
SARS2,0.42,0.08
SART1,0.96,0.42
SART3,1.0,0.6
SASH1,0.36,0.1
SASH3,0.12,0.06
SASS6,0.2,0.22
SAT1,1.0,0.92
SAT2,0.2,0.18
SATB1,0.96,0.8
SATB2,0.12,0.02
SAV1,0.8,0.38
SAYSD1,0.02,0.02
SBDS,0.8,0.42
SBF1,0.52,0.1
SBF2,0.08,0.02
SBK1,0.08,0.06
SBNO1,0.34,0.1
SBSN,0.08,0.0
SC5D,0.28,0.0
SCAF1,0.58,0.22
SCAF11,0.64,0.2
SCAF4,0.58,0.16
SCAF8,0.46,0.04
SCAI,0.06,0.08
SCAMP1,0.6,0.32
SCAMP2,0.38,0.24
SCAMP3,0.68,0.24
SCAMP4,0.38,0.0
SCAMP5,0.12,0.02
SCAND1,0.26,0.26
SCAP,0.68,0.4
SCAPER,0.38,0.08
SCARA3,0.14,0.1
SCARA5,0.08,0.0
SCARB1,0.48,0.14
SCARB2,0.36,0.22
SCARF2,0.18,0.0
SCCPDH,0.5,0.02
SCD,0.54,0.02
SCD5,0.18,0.0
SCEL,0.2,0.08
SCFD1,0.82,0.32
SCFD2,0.22,0.0
SCG2,0.26,0.3
SCG3,0.06,0.02
SCG5,0.1,0.18
SCGB1A1,0.38,0.22
SCGB1D2,0.04,0.0
SCGB2A1,0.04,0.0
SCGN,0.02,0.0
SCHIP1,0.74,0.4
SCIMP,0.08,0.0
SCIN,0.18,0.04
SCLT1,0.18,0.1
SCLY,0.5,0.06
SCMH1,0.6,0.5
SCML1,0.18,0.12
SCML2,0.2,0.06
SCN1A,0.12,0.1
SCN1B,0.0,0.06
SCN2A,0.16,0.08
SCN3A,0.1,0.1
SCN3B,0.02,0.0
SCN4A,0.14,0.14
SCN5A,0.66,0.26
SCN8A,0.2,0.04
SCN9A,0.04,0.0
SCNN1A,0.9,0.62
SCNN1B,0.86,0.6
SCNN1D,0.22,0.14
SCNN1G,0.88,0.46
SCO1,0.22,0.12
SCO2,0.62,0.28
SCOC,0.2,0.24
SCP2,0.66,0.38
SCPEP1,0.42,0.02
SCRIB,0.98,0.46
SCRN1,0.3,0.1
SCRN2,0.02,0.02
SCRN3,0.12,0.04
SCT,0.08,0.12
SCTR,0.22,0.12
SCUBE3,0.26,0.22
SCXB,0.02,0.02
SCYL1,0.42,0.2
SCYL2,0.28,0.08
SCYL3,0.4,0.2
SDAD1,0.4,0.02
SDC1,0.6,0.36
SDC2,0.78,0.54
SDC3,0.66,0.3
SDC4,0.46,0.2
SDCBP,0.94,0.58
SDCBP2,0.62,0.46
SDCCAG3,0.42,0.1
SDCCAG8,0.2,0.04
SDE2,0.22,0.0
SDF2,0.16,0.08
SDF2L1,0.28,0.04
SDF4,0.58,0.22
SDHA,0.96,0.12
SDHAF2,0.54,0.28
SDHB,0.88,0.24
SDHC,0.28,0.08
SDK1,0.12,0.02
SDK2,0.06,0.0
SDPR,0.48,0.3
SDR16C5,0.12,0.06
SDR39U1,0.14,0.0
SDR42E1,0.04,0.0
SDSL,0.22,0.1
SEC11A,1.0,1.0
SEC11C,0.2,0.0
SEC13,0.92,0.36
SEC14L1,0.44,0.02
SEC14L2,0.02,0.02
SEC14L4,0.1,0.06
SEC16A,0.54,0.18
SEC16B,0.08,0.1
SEC22A,0.06,0.12
SEC22B,0.82,0.38
SEC22C,0.1,0.0
SEC23A,1.0,1.0
SEC23B,0.72,0.02
SEC23IP,0.44,0.22
SEC24A,0.72,0.34
SEC24B,0.52,0.16
SEC24C,0.92,0.48
SEC24D,0.56,0.42
SEC31A,0.78,0.46
SEC31B,0.1,0.0
SEC61A1,0.86,0.04
SEC61A2,0.34,0.14
SEC61B,0.88,0.38
SEC61G,0.04,0.0
SEC62,0.38,0.24
SEC63,0.54,0.06
SECISBP2,0.14,0.04
SECISBP2L,0.12,0.0
SECTM1,0.2,0.0
SEH1L,0.68,0.14
SEL1L,0.82,0.9
SEL1L3,0.2,0.04
SELE,0.6,0.5
SELENBP1,0.78,0.6
SELI,0.02,0.0
SELK,0.04,0.02
SELL,0.54,0.22
SELO,0.2,0.0
SELP,0.38,0.28
SELPLG,0.32,0.2
SELRC1,0.38,0.14
SELT,0.08,0.06
SELV,0.08,0.0
SEMA3A,0.04,0.08
SEMA3B,0.02,0.02
SEMA3C,0.02,0.0
SEMA3E,0.02,0.0
SEMA3F,0.3,0.06
SEMA4A,0.34,0.16
SEMA4B,0.18,0.02
SEMA4C,0.3,0.18
SEMA4D,0.24,0.28
SEMA4F,0.0,0.02
SEMA4G,0.18,0.16
SEMA5A,0.06,0.0
SEMA5B,0.46,0.2
SEMA6A,0.18,0.18
SEMA7A,0.18,0.0
SEMG1,0.28,0.1
SEMG2,0.16,0.06
SENP1,0.86,0.22
SENP2,0.84,0.44
SENP3,0.92,0.32
SENP5,0.18,0.0
SENP6,0.66,0.02
SENP7,0.12,0.06
SENP8,0.86,0.2
SEP15,0.22,0.08
SEPHS1,0.78,0.72
SEPHS2,0.14,0.08
SEPN1,0.26,0.0
SEPP1,0.12,0.06
SEPSECS,0.02,0.0
SEPT1,0.38,0.3
SEPT10,1.0,1.0
SEPT11,0.74,0.54
SEPT12,0.18,0.08
SEPT14,0.24,0.06
SEPT2,1.0,1.0
SEPT3,0.34,0.02
SEPT4,0.66,0.4
SEPT5,0.8,0.78
SEPT6,0.56,0.46
SEPT7,1.0,1.0
SEPT8,0.7,0.42
SEPT9,0.9,0.08
SERAC1,0.02,0.0
SERBP1,0.96,0.04
SERF1B,0.16,0.12
SERF2,0.38,0.36
SERGEF,0.32,0.26
SERHL2,0.02,0.0
SERINC1,0.6,0.18
SERINC3,0.58,0.24
SERP1,0.42,0.24
SERP2,0.12,0.12
SERPINA1,0.92,0.64
SERPINA10,0.18,0.08
SERPINA12,0.08,0.02
SERPINA3,0.72,0.44
SERPINA4,0.72,0.4
SERPINA5,0.7,0.7
SERPINA6,0.04,0.0
SERPINB1,0.42,0.14
SERPINB10,0.02,0.0
SERPINB12,0.22,0.02
SERPINB13,0.04,0.04
SERPINB2,0.46,0.18
SERPINB3,0.42,0.22
SERPINB4,0.36,0.06
SERPINB5,0.32,0.26
SERPINB6,0.48,0.1
SERPINB8,0.16,0.12
SERPINB9,0.94,0.74
SERPINC1,0.12,0.12
SERPIND1,0.06,0.04
SERPINE1,0.72,0.44
SERPINE2,0.32,0.26
SERPINF1,0.36,0.22
SERPINF2,0.32,0.3
SERPING1,0.52,0.38
SERPINH1,0.92,0.68
SERPINI1,0.1,0.08
SERPINI2,0.38,0.16
SERTAD1,0.84,0.68
SERTAD2,0.46,0.1
SERTAD3,0.38,0.4
SERTAD4,0.14,0.0
SERTM1,0.08,0.0
SESN1,0.28,0.06
SESN2,0.28,0.1
SESN3,0.02,0.0
SESTD1,0.04,0.02
SET,1.0,0.22
SETBP1,0.18,0.02
SETD1A,0.98,0.84
SETD1B,0.62,0.42
SETD2,0.58,0.36
SETD3,0.36,0.08
SETD4,0.1,0.0
SETD5,0.3,0.26
SETD6,0.42,0.02
SETD7,0.96,0.66
SETD8,0.84,0.54
SETDB1,1.0,0.18
SETDB2,0.06,0.0
SETMAR,0.28,0.16
SETX,0.6,0.1
SEZ6,0.1,0.12
SEZ6L2,0.12,0.06
SF1,1.0,0.3
SF3A1,1.0,0.2
SF3A2,1.0,1.0
SF3A3,1.0,1.0
SF3B1,1.0,0.1
SF3B14,1.0,1.0
SF3B2,1.0,0.5
SF3B3,1.0,0.02
SF3B4,0.98,0.44
SF3B5,0.64,0.2
SFI1,0.34,0.18
SFMBT1,0.42,0.14
SFN,1.0,0.28
SFPQ,1.0,0.14
SFR1,0.26,0.14
SFRP1,0.3,0.08
SFRP2,0.04,0.02
SFSWAP,0.1,0.06
SFT2D1,0.02,0.0
SFT2D2,0.42,0.0
SFT2D3,0.04,0.0
SFTPA1,0.04,0.04
SFTPA2,0.06,0.06
SFTPB,0.02,0.0
SFTPC,0.24,0.14
SFTPD,0.14,0.06
SFXN1,0.7,0.24
SFXN2,0.36,0.14
SFXN3,0.38,0.1
SFXN4,0.24,0.06
SFXN5,0.04,0.0
SGCA,0.2,0.1
SGCB,0.2,0.02
SGCD,0.2,0.24
SGCE,0.24,0.1
SGCG,0.64,0.36
SGCZ,0.02,0.0
SGIP1,0.2,0.08
SGK1,1.0,0.42
SGK2,0.26,0.02
SGK223,0.26,0.14
SGK3,0.32,0.2
SGK494,0.04,0.12
SGMS1,0.08,0.08
SGMS2,0.24,0.0
SGOL1,0.54,0.34
SGOL2,0.36,0.12
SGPL1,1.0,1.0
SGPP1,0.02,0.0
SGSH,0.08,0.04
SGSM2,0.72,0.48
SGSM3,0.46,0.26
SGTA,1.0,0.52
SGTB,0.42,0.12
SH2B1,0.76,0.32
SH2B2,0.76,0.52
SH2B3,0.46,0.22
SH2D1A,0.88,0.72
SH2D1B,0.16,0.14
SH2D2A,0.66,0.28
SH2D3A,0.22,0.14
SH2D3C,0.28,0.22
SH2D4A,0.62,0.32
SH2D5,0.04,0.02
SH3BGR,0.08,0.04
SH3BGRL,0.44,0.18
SH3BGRL2,0.16,0.0
SH3BGRL3,0.4,0.12
SH3BP1,0.32,0.08
SH3BP2,0.92,0.62
SH3BP4,0.9,0.58
SH3BP5,0.56,0.4
SH3BP5L,0.42,0.12
SH3D19,0.34,0.16
SH3D21,0.04,0.0
SH3GL1,0.98,0.64
SH3GL2,1.0,0.86
SH3GL3,1.0,0.82
SH3GLB1,0.86,0.38
SH3GLB2,0.84,0.34
SH3KBP1,1.0,0.34
SH3PXD2A,0.62,0.26
SH3PXD2B,0.32,0.04
SH3RF1,0.62,0.56
SH3RF2,0.48,0.08
SH3RF3,0.32,0.2
SH3YL1,0.28,0.1
SHANK1,0.38,0.5
SHANK2,0.74,0.42
SHANK3,0.46,0.16
SHARPIN,0.88,0.7
SHB,0.78,0.7
SHBG,0.88,0.42
SHC1,1.0,0.0
SHC2,0.34,0.34
SHC3,0.46,0.22
SHCBP1,0.54,0.06
SHD,0.16,0.0
SHE,0.02,0.0
SHFM1,1.0,0.56
SHH,0.24,0.08
SHISA5,0.22,0.14
SHKBP1,0.62,0.18
SHMT1,0.86,0.16
SHMT2,0.92,0.4
SHOC2,0.58,0.38
SHOX,0.06,0.02
SHOX2,0.1,0.06
SHPK,1.0,0.04
SHPRH,0.52,0.4
SHQ1,0.32,0.02
SHROOM1,0.02,0.0
SHROOM2,0.22,0.0
SHROOM3,0.42,0.08
SIAH1,1.0,0.74
SIAH2,1.0,0.8
SIGIRR,0.3,0.06
SIGLEC1,0.02,0.04
SIGLEC10,0.02,0.02
SIGLEC11,0.06,0.02
SIGLEC12,0.04,0.0
SIGLEC5,0.08,0.04
SIGLEC7,0.12,0.0
SIGLEC8,0.08,0.08
SIGLEC9,0.02,0.0
SIGMAR1,0.42,0.22
SIK1,0.64,0.12
SIK2,0.56,0.18
SIK3,0.36,0.02
SIKE1,0.62,0.24
SIL1,0.42,0.08
SIM1,0.26,0.24
SIM2,0.36,0.36
SIMC1,0.32,0.1
SIN3A,1.0,1.0
SIN3B,0.98,0.66
SIPA1,0.22,0.32
SIPA1L1,0.52,0.18
SIPA1L2,0.16,0.0
SIPA1L3,0.18,0.14
SIRPA,0.38,0.34
SIRPB1,0.08,0.02
SIRPD,0.02,0.0
SIRPG,0.02,0.02
SIRT1,1.0,0.14
SIRT2,0.82,0.54
SIRT3,0.74,0.44
SIRT4,0.22,0.18
SIRT5,0.28,0.12
SIRT6,0.64,0.22
SIRT7,1.0,0.0
SIT1,0.2,0.1
SIVA1,0.72,0.52
SIX1,0.66,0.4
SIX2,0.06,0.0
SIX3,0.62,0.56
SIX4,0.24,0.1
SIX5,0.1,0.12
SIX6,0.3,0.32
SKA1,0.52,0.48
SKA2,0.32,0.26
SKA3,0.42,0.18
SKAP1,0.64,0.28
SKAP2,0.36,0.18
SKI,1.0,0.74
SKIL,1.0,0.56
SKIV2L,0.66,0.14
SKIV2L2,0.96,0.22
SKOR2,0.02,0.0
SKP1,1.0,0.4
SKP2,1.0,0.64
SLA,0.66,0.34
SLA2,0.58,0.22
SLAIN2,0.26,0.02
SLAMF1,0.66,0.44
SLAMF6,0.08,0.14
SLAMF7,0.02,0.06
SLBP,0.34,0.18
SLC10A1,0.02,0.02
SLC10A2,0.02,0.0
SLC10A3,0.04,0.04
SLC10A4,0.12,0.0
SLC10A7,0.02,0.0
SLC11A2,0.38,0.24
SLC12A2,0.64,0.18
SLC12A3,0.4,0.04
SLC12A4,0.42,0.04
SLC12A6,0.2,0.02
SLC12A7,0.3,0.0
SLC12A9,0.18,0.0
SLC14A2,0.1,0.08
SLC15A2,0.04,0.04
SLC15A3,0.02,0.08
SLC15A4,0.44,0.02
SLC16A1,0.76,0.28
SLC16A10,0.1,0.0
SLC16A13,0.04,0.0
SLC16A2,0.02,0.0
SLC16A3,0.26,0.0
SLC16A4,0.04,0.06
SLC16A5,0.02,0.0
SLC16A6,0.06,0.0
SLC16A7,0.1,0.02
SLC16A8,0.2,0.14
SLC16A9,0.1,0.0
SLC17A1,0.14,0.1
SLC17A2,0.06,0.0
SLC17A5,0.1,0.0
SLC17A9,0.04,0.02
SLC18A2,0.18,0.06
SLC18B1,0.14,0.0
SLC19A1,0.36,0.0
SLC19A2,0.14,0.06
SLC19A3,0.1,0.02
SLC1A1,0.14,0.02
SLC1A2,0.18,0.12
SLC1A3,0.58,0.02
SLC1A4,0.36,0.0
SLC1A5,0.66,0.22
SLC1A6,0.14,0.16
SLC1A7,0.18,0.04
SLC20A1,0.58,0.08
SLC20A2,0.12,0.0
SLC22A1,0.14,0.18
SLC22A11,0.14,0.14
SLC22A12,0.14,0.04
SLC22A16,0.06,0.0
SLC22A17,0.02,0.0
SLC22A18,0.16,0.0
SLC22A2,0.36,0.22
SLC22A23,0.02,0.0
SLC22A24,0.04,0.0
SLC22A3,0.04,0.0
SLC22A4,0.14,0.14
SLC22A5,0.18,0.0
SLC22A6,0.18,0.12
SLC23A1,0.16,0.02
SLC23A2,0.18,0.0
SLC23A3,0.02,0.02
SLC24A1,0.28,0.02
SLC25A1,0.58,0.1
SLC25A10,0.88,0.5
SLC25A11,0.78,0.26
SLC25A12,0.7,0.24
SLC25A13,0.62,0.1
SLC25A15,0.1,0.0
SLC25A17,0.4,0.3
SLC25A18,0.12,0.0
SLC25A19,0.04,0.0
SLC25A20,0.18,0.02
SLC25A22,0.52,0.26
SLC25A23,0.16,0.0
SLC25A24,0.12,0.04
SLC25A25,0.04,0.0
SLC25A26,0.04,0.0
SLC25A27,0.0,0.04
SLC25A3,1.0,1.0
SLC25A31,0.2,0.02
SLC25A32,0.02,0.0
SLC25A33,0.0,0.02
SLC25A34,0.02,0.02
SLC25A36,0.12,0.06
SLC25A38,0.16,0.08
SLC25A39,0.06,0.0
SLC25A4,0.84,0.36
SLC25A42,0.04,0.02
SLC25A43,0.06,0.0
SLC25A44,0.02,0.02
SLC25A46,0.3,0.02
SLC25A47,0.08,0.04
SLC25A5,1.0,0.0
SLC25A51,0.08,0.04
SLC25A6,1.0,1.0
SLC26A1,0.1,0.0
SLC26A11,0.3,0.02
SLC26A2,0.08,0.0
SLC26A3,0.12,0.04
SLC26A6,0.34,0.04
SLC26A8,0.16,0.12
SLC26A9,0.0,0.04
SLC27A2,0.32,0.16
SLC27A3,0.14,0.0
SLC27A4,0.3,0.1
SLC27A6,0.16,0.08
SLC29A1,0.32,0.04
SLC29A2,0.18,0.08
SLC2A1,0.76,0.5
SLC2A10,0.06,0.0
SLC2A11,0.04,0.0
SLC2A12,0.12,0.0
SLC2A14,0.1,0.0
SLC2A2,0.2,0.0
SLC2A3,0.32,0.08
SLC2A4,0.82,0.5
SLC2A5,0.08,0.04
SLC2A6,0.08,0.0
SLC2A8,0.06,0.0
SLC30A1,0.38,0.02
SLC30A2,0.08,0.04
SLC30A3,0.04,0.06
SLC30A4,0.02,0.0
SLC30A5,0.32,0.02
SLC30A6,0.2,0.0
SLC30A7,0.14,0.02
SLC30A9,0.08,0.0
SLC31A1,0.02,0.0
SLC31A2,0.12,0.08
SLC33A1,0.14,0.0
SLC34A1,0.12,0.06
SLC34A3,0.1,0.08
SLC35A2,0.14,0.06
SLC35A3,0.3,0.06
SLC35A5,0.04,0.0
SLC35B1,0.1,0.0
SLC35B2,1.0,1.0
SLC35C2,0.34,0.0
SLC35D1,0.02,0.0
SLC35E1,0.18,0.1
SLC35E3,0.08,0.0
SLC35E4,0.02,0.0
SLC35F2,0.28,0.0
SLC35F3,0.1,0.0
SLC35F5,0.16,0.0
SLC35F6,0.64,0.72
SLC35G2,0.04,0.0
SLC36A1,0.02,0.02
SLC37A3,0.04,0.02
SLC37A4,0.1,0.04
SLC38A1,0.3,0.0
SLC38A10,0.04,0.0
SLC38A2,0.62,0.12
SLC38A3,0.16,0.04
SLC38A5,0.26,0.0
SLC39A1,0.16,0.16
SLC39A10,0.32,0.0
SLC39A11,0.1,0.0
SLC39A14,0.44,0.08
SLC39A2,0.02,0.0
SLC39A3,0.02,0.0
SLC39A6,0.2,0.06
SLC39A7,0.48,0.08
SLC3A1,0.02,0.04
SLC3A2,1.0,1.0
SLC40A1,0.24,0.04
SLC41A1,0.04,0.0
SLC41A2,0.02,0.0
SLC41A3,0.14,0.06
SLC43A1,0.26,0.0
SLC43A2,0.18,0.0
SLC43A3,0.38,0.1
SLC44A1,0.6,0.08
SLC44A2,0.04,0.0
SLC44A3,0.1,0.0
SLC45A1,0.02,0.0
SLC45A4,0.04,0.0
SLC46A1,0.1,0.0
SLC48A1,0.02,0.0
SLC4A1,0.66,0.46
SLC4A10,0.14,0.04
SLC4A11,0.1,0.0
SLC4A1AP,0.58,0.16
SLC4A2,0.54,0.06
SLC4A3,0.1,0.04
SLC4A4,0.16,0.02
SLC4A7,0.38,0.02
SLC4A8,0.32,0.16
SLC50A1,0.02,0.04
SLC51A,0.18,0.12
SLC52A3,0.0,0.02
SLC5A1,0.14,0.04
SLC5A3,0.3,0.0
SLC5A5,0.0,0.02
SLC5A6,0.22,0.02
SLC5A7,0.08,0.04
SLC6A1,0.22,0.16
SLC6A12,0.04,0.06
SLC6A13,0.1,0.04
SLC6A15,0.34,0.02
SLC6A17,0.12,0.0
SLC6A2,0.32,0.12
SLC6A3,0.84,0.62
SLC6A4,0.3,0.32
SLC6A5,0.08,0.12
SLC6A6,0.38,0.0
SLC6A8,0.24,0.0
SLC6A9,0.38,0.02
SLC7A1,0.56,0.0
SLC7A10,0.04,0.0
SLC7A11,0.48,0.1
SLC7A14,0.06,0.0
SLC7A2,0.32,0.0
SLC7A4,0.02,0.0
SLC7A5,1.0,1.0
SLC7A6OS,0.02,0.0
SLC7A7,0.1,0.06
SLC7A8,0.14,0.04
SLC7A9,0.14,0.0
SLC8A1,0.22,0.14
SLC8A2,0.02,0.0
SLC8A3,0.02,0.0
SLC8B1,0.16,0.0
SLC9A1,0.92,0.68
SLC9A2,0.34,0.26
SLC9A3,0.42,0.34
SLC9A3R1,1.0,0.46
SLC9A3R2,0.96,0.62
SLC9A4,0.1,0.04
SLC9A5,0.3,0.1
SLC9A6,0.12,0.0
SLC9A7,0.08,0.02
SLC9A8,0.04,0.02
SLC9B2,0.04,0.02
SLCO1A2,0.0,0.02
SLCO1C1,0.06,0.0
SLCO2A1,0.02,0.0
SLCO2B1,0.1,0.0
SLCO4A1,0.2,0.0
SLFN11,0.42,0.04
SLFN12,0.16,0.02
SLFN12L,0.12,0.0
SLFN5,0.4,0.0
SLFNL1,0.02,0.0
SLIRP,0.7,0.2
SLIT1,0.06,0.02
SLIT2,0.26,0.04
SLIT3,0.04,0.06
SLITRK1,0.04,0.0
SLITRK3,0.02,0.0
SLITRK4,0.04,0.0
SLK,0.42,0.36
SLMAP,0.56,0.38
SLMO2,0.06,0.0
SLN,0.3,0.14
SLPI,0.08,0.08
SLTM,0.36,0.08
SLU7,0.88,0.66
SLX1B,0.84,0.68
SLX4,0.96,0.86
SLX4IP,0.44,0.32
SMAD1,1.0,0.12
SMAD2,1.0,0.0
SMAD3,1.0,0.0
SMAD4,1.0,0.18
SMAD5,1.0,0.72
SMAD6,0.96,0.48
SMAD7,1.0,0.82
SMAD9,1.0,0.24
SMAGP,0.24,0.0
SMAP1,0.38,0.18
SMAP2,0.06,0.0
SMARCA1,0.74,0.42
SMARCA2,1.0,0.8
SMARCA4,1.0,0.08
SMARCA5,1.0,0.62
SMARCAD1,1.0,0.12
SMARCAL1,0.08,0.02
SMARCB1,1.0,1.0
SMARCC1,1.0,1.0
SMARCC2,1.0,0.56
SMARCD1,1.0,0.22
SMARCD2,0.8,0.46
SMARCD3,0.7,0.48
SMARCE1,1.0,1.0
SMC1A,1.0,1.0
SMC1B,0.02,0.0
SMC2,0.98,0.7
SMC3,1.0,1.0
SMC4,0.98,0.32
SMC5,0.68,0.38
SMC6,0.66,0.34
SMCHD1,0.62,0.0
SMCO4,0.02,0.02
SMCP,0.16,0.08
SMCR8,0.2,0.02
SMEK1,0.84,0.54
SMEK2,0.72,0.58
SMG1,0.94,0.82
SMG5,0.56,0.4
SMG6,0.3,0.18
SMG7,0.44,0.2
SMG8,0.5,0.32
SMG9,0.46,0.34
SMIM10,0.02,0.0
SMIM11,0.04,0.02
SMIM12,0.02,0.0
SMIM14,0.42,0.02
SMIM17,0.06,0.0
SMIM20,0.06,0.06
SMIM3,0.04,0.0
SMIM7,0.02,0.0
SMN2,1.0,0.04
SMNDC1,0.86,0.5
SMO,0.2,0.12
SMOC1,0.2,0.14
SMOC2,0.02,0.04
SMOX,0.06,0.0
SMPD1,0.18,0.08
SMPD2,0.02,0.02
SMPD3,0.32,0.22
SMPD4,0.48,0.04
SMPDL3A,0.06,0.02
SMR3B,0.04,0.0
SMS,0.66,0.48
SMTN,0.46,0.1
SMTNL2,0.04,0.0
SMU1,0.9,0.24
SMUG1,0.1,0.12
SMURF1,1.0,0.0
SMURF2,1.0,0.52
SMYD1,0.48,0.32
SMYD2,0.74,0.38
SMYD3,0.5,0.2
SMYD5,0.14,0.02
SNAI1,0.98,0.8
SNAI2,0.24,0.18
SNAI3,0.1,0.0
SNAP23,1.0,0.94
SNAP25,0.96,0.96
SNAP29,0.72,0.54
SNAP47,0.16,0.0
SNAP91,0.24,0.14
SNAPC1,0.62,0.5
SNAPC2,0.58,0.44
SNAPC3,0.62,0.26
SNAPC4,0.56,0.6
SNAPC5,0.34,0.42
SNAPIN,0.98,0.72
SNCA,1.0,1.0
SNCAIP,0.94,0.82
SNCB,0.54,0.22
SNCG,0.64,0.46
SND1,0.98,0.26
SNED1,0.04,0.08
SNF8,0.98,0.74
SNIP1,0.9,0.44
SNPH,0.02,0.0
SNRK,0.14,0.14
SNRNP200,1.0,0.04
SNRNP25,0.08,0.0
SNRNP27,0.38,0.22
SNRNP35,0.2,0.0
SNRNP40,0.98,0.46
SNRNP70,1.0,1.0
SNRPA,0.96,0.36
SNRPA1,0.98,0.14
SNRPB,1.0,0.24
SNRPB2,0.92,0.36
SNRPC,0.94,0.42
SNRPD1,1.0,0.04
SNRPD2,1.0,0.06
SNRPD3,0.98,0.08
SNRPE,0.98,0.7
SNRPF,0.98,0.38
SNRPG,0.96,0.74
SNRPN,0.72,0.36
SNTA1,0.94,0.46
SNTB1,0.56,0.44
SNTB2,0.6,0.38
SNTG1,0.24,0.16
SNTG2,0.14,0.02
SNUPN,0.9,0.32
SNURF,0.22,0.08
SNW1,1.0,0.22
SNX1,0.8,0.48
SNX10,0.22,0.0
SNX11,0.14,0.0
SNX12,0.4,0.04
SNX13,0.1,0.08
SNX14,0.46,0.0
SNX15,0.2,0.2
SNX16,0.02,0.02
SNX17,0.66,0.32
SNX18,0.28,0.12
SNX19,0.12,0.08
SNX2,0.9,0.6
SNX20,0.28,0.18
SNX21,0.02,0.0
SNX22,0.24,0.06
SNX24,0.24,0.08
SNX25,0.04,0.02
SNX27,0.44,0.08
SNX29,0.04,0.0
SNX3,0.78,0.28
SNX30,0.14,0.04
SNX32,0.04,0.02
SNX33,0.42,0.36
SNX4,0.74,0.38
SNX5,0.78,0.56
SNX6,0.94,0.6
SNX7,0.36,0.2
SNX8,0.48,0.12
SNX9,0.94,0.78
SOAT1,0.44,0.08
SOAT2,0.04,0.02
SOBP,0.08,0.02
SOCS1,1.0,0.8
SOCS2,0.84,0.78
SOCS3,1.0,0.78
SOCS4,0.22,0.18
SOCS5,0.28,0.22
SOCS6,0.72,0.46
SOCS7,0.34,0.12
SOD1,0.94,0.02
SOD2,0.82,0.22
SOGA1,0.32,0.1
SOGA2,0.18,0.1
SOGA3,0.04,0.02
SOHLH2,0.08,0.12
SON,0.92,0.2
SORBS1,0.9,0.6
SORBS2,0.86,0.6
SORBS3,0.84,0.68
SORCS1,0.02,0.02
SORCS3,0.1,0.1
SORD,1.0,1.0
SORL1,0.44,0.5
SORT1,0.84,0.5
SOS1,1.0,0.7
SOS2,0.92,0.4
SOST,0.16,0.12
SOSTDC1,0.04,0.14
SOWAHC,0.22,0.06
